iter	Logloss
0	0.5196061634
1	0.3988275389
2	0.3193849345
3	0.2643765245
4	0.223689346
5	0.1956428565
6	0.1769425613
7	0.163540336
8	0.152860174
9	0.1454822084
10	0.1395544591
11	0.1350827053
12	0.1319368883
13	0.1298684877
14	0.1280061436
15	0.1268253942
16	0.1256560562
17	0.12487714
18	0.123805547
19	0.1228094211
20	0.1221957369
21	0.1216617343
22	0.1212012332
23	0.1208322519
24	0.1204394871
25	0.1201230127
26	0.1200714165
27	0.1199095972
28	0.1196666635
29	0.1194743128
30	0.1193903627
31	0.1192627658
32	0.1191426867
33	0.118971568
34	0.1188815178
35	0.1187533308
36	0.1187265797
37	0.1185381415
38	0.1185269141
39	0.1184689927
40	0.1184056682
41	0.1183603879
42	0.1183288373
43	0.118254144
44	0.1181652574
45	0.118097465
46	0.1180346596
47	0.1179784136
48	0.1179745259
49	0.1178424692
50	0.1178081127
51	0.1177944221
52	0.1177560311
53	0.117721798
54	0.117652164
55	0.1176499285
56	0.1175421248
57	0.1175185203
58	0.1173900832
59	0.1173678442
60	0.1173596525
61	0.1173466499
62	0.1173449555
63	0.1173449145
64	0.1172876894
65	0.1172559983
66	0.1172358095
67	0.1171811261
68	0.1171556979
69	0.1171482762
70	0.1171336143
71	0.1171148273
72	0.1170746206
73	0.1170383439
74	0.1169990547
75	0.1169563286
76	0.1169503515
77	0.1169409031
78	0.1169088062
79	0.1168958809
80	0.1168884632
81	0.1168623912
82	0.1168623724
83	0.1168605676
84	0.1168598642
85	0.1168178315
86	0.1167617701
87	0.1166861694
88	0.1166624439
89	0.1166399779
90	0.1165890005
91	0.1165758887
92	0.1165749624
93	0.1165685072
94	0.1165346068
95	0.1165080981
96	0.1164733973
97	0.1164408045
98	0.1163940663
99	0.1163891694
100	0.1163830713
101	0.1163782759
102	0.116377627
103	0.1163476525
104	0.1163197351
105	0.1162757528
106	0.1162317905
107	0.1162265039
108	0.1162216627
109	0.1161906458
110	0.1161811609
111	0.1161704885
112	0.1161616417
